natureza,referência,preçoVenda,preçoAluguel,distrito,concelho,freguesia,tipologia,area,ano,imagens,banco,contacto,email,telefone
Moradia,26984,38000,,,Castanheira de Pêra,,; Não aplicável,194,1935,"['https://cdn.proppy.app/propertyfiles/18/198595/c14d08ec-6b8c-4b29-845c-6882ebf77012.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/96506066-e57a-4976-9c20-b05c22ccd1fd.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/2f92ae72-8e53-4e41-bc8a-3945c519d497.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/58cbbcc1-30bd-40fa-82ba-ae45b8fb3462.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/14b541a1-c936-426e-ae2a-8a9a25c66dad.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/83324947-dea7-4597-b894-8a3d944ed7c5.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/9b886a82-27cb-47d9-8ae2-69c93d096157.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/be75de99-3a4f-4e78-972a-a665b9156c09.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/da2b807b-fe28-4cc9-9c66-8fd89e2fefa8.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/6836d51f-80e2-462c-811e-77ed3426b749.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/8a2927d4-3847-47d0-9392-8edead36e690.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/c88b94f3-cc5d-4c1d-8e41-4aeb8e59bcc3.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/c14d08ec-6b8c-4b29-845c-6882ebf77012.jpg', 'https://cdn.proppy.app/propertyfiles/18/198595/96506066-e57a-4976-9c20-b05c22ccd1fd.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,27006,405500,,,Santa Maria da Feira,Nogueira da Regedoura,urbano,5231,0,"['https://cdn.proppy.app/propertyfiles/18/198574/add689c9-7129-4a1c-8967-c314a16c13b2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198574/d06e9b16-8269-40eb-8003-be45f010c78a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198574/daa893ec-ca86-40e0-89be-b18d551f7133.jpg', 'https://cdn.proppy.app/propertyfiles/18/198574/add689c9-7129-4a1c-8967-c314a16c13b2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198574/d06e9b16-8269-40eb-8003-be45f010c78a.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,27007,156500,,,Santa Maria da Feira,Nogueira da Regedoura,urbano,2000,0,"['https://cdn.proppy.app/propertyfiles/18/198573/0f6bdd70-c5fc-45c3-93dc-871e3d0eb0f7.jpg', 'https://cdn.proppy.app/propertyfiles/18/198573/6a6e09e7-f80c-4242-9e4e-acf9de186560.jpg', 'https://cdn.proppy.app/propertyfiles/18/198573/b2dfc22a-748a-4e72-aaef-91f4eea9201f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198573/0f6bdd70-c5fc-45c3-93dc-871e3d0eb0f7.jpg', 'https://cdn.proppy.app/propertyfiles/18/198573/6a6e09e7-f80c-4242-9e4e-acf9de186560.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Moradia,26989,209000,,,Santiago do Cacém,São Domingos e Vale de Água,; Não aplicável,115,2008,"['https://cdn.proppy.app/propertyfiles/18/198537/5a6c8862-183c-465a-b03b-4681ccfcb89f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198537/e210e50b-6e9c-4cac-b0ce-75c48df60581.jpg', 'https://cdn.proppy.app/propertyfiles/18/198537/d8a45331-715a-47be-9abb-02202a3035a3.jpg', 'https://cdn.proppy.app/propertyfiles/18/198537/df661967-fbfb-4c0d-b953-7281c653268a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198537/fa99e3b7-ff36-4ce1-a87f-ed91ad508513.jpg', 'https://cdn.proppy.app/propertyfiles/18/198537/5a6c8862-183c-465a-b03b-4681ccfcb89f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198537/e210e50b-6e9c-4cac-b0ce-75c48df60581.jpg']",Santander,Dilia Santos,dilia.santos@servexternos.santander.pt,938885885

Armazém,26994,895000,,,Palmela,,,1921,2003,"['https://cdn.proppy.app/propertyfiles/18/198525/942b3e67-e3e8-4582-838a-0de74cf63fc1.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/6c926fc8-d6e9-4e10-9e9d-536c137fffdf.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/b2f0c67e-2911-4185-bf62-091076f4cdb0.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/160e67e4-e1d7-4246-b5ab-fb2ed67ff988.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/83e3ae8f-e60f-4466-ac3d-0890e23d27e2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/a7d96622-f2b9-40b3-b30f-73d1bd90fdd3.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/37d0ee1f-cf38-4814-a545-415e882c8f8a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/d73f88dc-402b-4c0b-9d6f-7e1bf6460b98.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/632daa63-bb1a-42f3-97fa-1560c7050139.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/194acb09-d145-4b08-a8b6-db6701ae8700.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/b8b3bfd7-e2c1-4c43-bc76-09c214168b28.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/942b3e67-e3e8-4582-838a-0de74cf63fc1.jpg', 'https://cdn.proppy.app/propertyfiles/18/198525/6c926fc8-d6e9-4e10-9e9d-536c137fffdf.jpg']",Santander,Dilia Santos,dilia.santos@servexternos.santander.pt,938885885

Loja / comércio,26554,384000,,,Águeda,,/ comércio,365,1999,"['https://cdn.proppy.app/propertyfiles/18/198506/786849e9-1765-402a-ad1e-e14b3fbecb61.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/bed3ebe1-fc1f-4a96-9816-3a9cc46e72d0.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/d98c1288-e82e-4680-a089-ff85d2c89cbe.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/5dadd60c-17a8-4c20-b2b4-aea74944c0ca.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/076f8065-8382-497e-9e7b-31e27de978f4.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/d5f21c67-a9ef-416c-a9d7-cd85947c668f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/1c26f60c-e5a8-4ba6-8dae-5a769b039ca6.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/2f465312-747b-4d40-af7f-a334355b7fc2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/0b4478b0-49f8-49d5-9b3a-4e4381817fb8.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/8e79591f-7fd8-4067-a2c4-a2bf0376146a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/786849e9-1765-402a-ad1e-e14b3fbecb61.jpg', 'https://cdn.proppy.app/propertyfiles/18/198506/bed3ebe1-fc1f-4a96-9816-3a9cc46e72d0.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,20050,8000,,,Águeda,Valongo do Vouga,urbano,245,0,"['https://cdn.proppy.app/propertyfiles/18/198473/d3081c3e-9c90-4dc5-aa5c-36ca374b1166.jpg', 'https://cdn.proppy.app/propertyfiles/18/198473/dfd984da-47c4-4959-9fd7-8332c2432ac1.jpg', 'https://cdn.proppy.app/propertyfiles/18/198473/9ea7f213-8152-4edd-98ca-55669fed8136.jpg', 'https://cdn.proppy.app/propertyfiles/18/198473/12107332-df59-43d1-b0bd-257bc2fdaa13.jpg', 'https://cdn.proppy.app/propertyfiles/18/198473/37759047-6d47-41f4-94a8-6206ef206e36.jpg', 'https://cdn.proppy.app/propertyfiles/18/198473/2cde1031-593e-463d-9938-fde2dd0c687e.jpg', 'https://cdn.proppy.app/propertyfiles/18/198473/d3081c3e-9c90-4dc5-aa5c-36ca374b1166.jpg', 'https://cdn.proppy.app/propertyfiles/18/198473/dfd984da-47c4-4959-9fd7-8332c2432ac1.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,20051,11000,,,Águeda,Valongo do Vouga,urbano,245,0,"['https://cdn.proppy.app/propertyfiles/18/198472/24b213c5-b327-4591-82c7-c52920a1fe5b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198472/93a91ac6-b8d7-4b3e-996a-def38bc4af23.jpg', 'https://cdn.proppy.app/propertyfiles/18/198472/25175317-df14-424e-9bd6-d41935299106.jpg', 'https://cdn.proppy.app/propertyfiles/18/198472/caf7bef3-8a68-44b8-a243-5fafce157782.jpg', 'https://cdn.proppy.app/propertyfiles/18/198472/436cf259-616e-4ebf-aeaa-4cc7b5e1205b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198472/3ff0eef9-e824-43d7-91fe-d571d885ec4c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198472/24b213c5-b327-4591-82c7-c52920a1fe5b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198472/93a91ac6-b8d7-4b3e-996a-def38bc4af23.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,20052,11000,,,Águeda,Valongo do Vouga,urbano,245,0,"['https://cdn.proppy.app/propertyfiles/18/198471/738df3bc-cee2-4973-99b8-e08c166fd31a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198471/71cfaa55-b9a3-4f31-840b-2631c59cb942.jpg', 'https://cdn.proppy.app/propertyfiles/18/198471/30969578-8abf-481a-a9f3-02894797f819.jpg', 'https://cdn.proppy.app/propertyfiles/18/198471/71b8a77d-db80-450a-adf6-5a03868a6483.jpg', 'https://cdn.proppy.app/propertyfiles/18/198471/1bfb88a1-aaf3-4991-8621-e6fd0d2f0aa9.jpg', 'https://cdn.proppy.app/propertyfiles/18/198471/f92a4297-7018-4383-a06a-28a44f99486e.jpg', 'https://cdn.proppy.app/propertyfiles/18/198471/738df3bc-cee2-4973-99b8-e08c166fd31a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198471/71cfaa55-b9a3-4f31-840b-2631c59cb942.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,20053,11000,,,Águeda,Valongo do Vouga,urbano,245,0,"['https://cdn.proppy.app/propertyfiles/18/198470/d246158a-dcb7-4a0a-857e-66648eece4d9.jpg', 'https://cdn.proppy.app/propertyfiles/18/198470/dfbcbae5-13e5-41d1-8c68-8d4fd1c4660b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198470/b1d1e0cb-96ec-4470-9971-7c0ecc107f9a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198470/6e42c536-a1ce-4de4-bae3-fda6c5f40eab.jpg', 'https://cdn.proppy.app/propertyfiles/18/198470/45813b01-d1ef-4d22-a163-9a2aa29c9764.jpg', 'https://cdn.proppy.app/propertyfiles/18/198470/cbd3ef97-1730-481d-a4b3-744db3fc136b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198470/d246158a-dcb7-4a0a-857e-66648eece4d9.jpg', 'https://cdn.proppy.app/propertyfiles/18/198470/dfbcbae5-13e5-41d1-8c68-8d4fd1c4660b.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,20054,11000,,,Águeda,Valongo do Vouga,urbano,245,0,"['https://cdn.proppy.app/propertyfiles/18/198469/9d6441d8-a18c-4e47-aba5-c5e00786e452.jpg', 'https://cdn.proppy.app/propertyfiles/18/198469/c89a1a3f-559d-4f61-9a65-0453a9d45eda.jpg', 'https://cdn.proppy.app/propertyfiles/18/198469/81bb1dcb-b823-4696-9d9b-7636793e2931.jpg', 'https://cdn.proppy.app/propertyfiles/18/198469/efd2f820-1cf3-4b83-a508-e0abad3e9968.jpg', 'https://cdn.proppy.app/propertyfiles/18/198469/6aa0f00c-2500-4f9e-915d-cc148edb1c63.jpg', 'https://cdn.proppy.app/propertyfiles/18/198469/08e059a1-983f-408c-a133-a1171acd81e4.jpg', 'https://cdn.proppy.app/propertyfiles/18/198469/9d6441d8-a18c-4e47-aba5-c5e00786e452.jpg', 'https://cdn.proppy.app/propertyfiles/18/198469/c89a1a3f-559d-4f61-9a65-0453a9d45eda.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24305,8000,,,Águeda,,urbano,301,0,"['https://cdn.proppy.app/propertyfiles/18/198454/9016c1fb-1260-4122-bd5b-ea73773a7bdd.jpg', 'https://cdn.proppy.app/propertyfiles/18/198454/cf75febe-951f-448b-80c6-302b7e1fb097.jpg', 'https://cdn.proppy.app/propertyfiles/18/198454/dee86aae-ac21-4abe-8450-37c8632f940d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198454/f9185663-4f2f-4136-b6f5-8edaeba34d49.jpg', 'https://cdn.proppy.app/propertyfiles/18/198454/f91d9ec9-cebc-4fd7-9650-9a107fcf9a4b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198454/9016c1fb-1260-4122-bd5b-ea73773a7bdd.jpg', 'https://cdn.proppy.app/propertyfiles/18/198454/cf75febe-951f-448b-80c6-302b7e1fb097.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24307,8000,,,Águeda,,urbano,199,0,"['https://cdn.proppy.app/propertyfiles/18/198453/f0fa4f95-c3e5-4535-9b0c-e70c8247bf39.jpg', 'https://cdn.proppy.app/propertyfiles/18/198453/7c26fe24-8695-4323-b434-f5a212acea11.jpg', 'https://cdn.proppy.app/propertyfiles/18/198453/c02d2faa-0f3f-47d6-a1e6-63bc55131efe.jpg', 'https://cdn.proppy.app/propertyfiles/18/198453/0032f12f-d84e-4939-aad4-69f9dc68dfdb.jpg', 'https://cdn.proppy.app/propertyfiles/18/198453/7a9c7216-d4c7-4f8d-a86e-9513cfafa6d8.jpg', 'https://cdn.proppy.app/propertyfiles/18/198453/f0fa4f95-c3e5-4535-9b0c-e70c8247bf39.jpg', 'https://cdn.proppy.app/propertyfiles/18/198453/7c26fe24-8695-4323-b434-f5a212acea11.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24308,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198452/f4c0bb8d-5bd3-4629-9976-fdb2790c6be7.jpg', 'https://cdn.proppy.app/propertyfiles/18/198452/54509039-c12e-4a10-895a-81b349168ee1.jpg', 'https://cdn.proppy.app/propertyfiles/18/198452/c87c2df4-07d3-422a-8d9b-75dc4426b318.jpg', 'https://cdn.proppy.app/propertyfiles/18/198452/47539174-4ffd-4503-99b0-a1b62421e8ff.jpg', 'https://cdn.proppy.app/propertyfiles/18/198452/2aac03fa-aebe-4d71-8a8b-bb5fa2942a1c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198452/f4c0bb8d-5bd3-4629-9976-fdb2790c6be7.jpg', 'https://cdn.proppy.app/propertyfiles/18/198452/54509039-c12e-4a10-895a-81b349168ee1.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24309,13500,,,Águeda,,urbano,362,0,"['https://cdn.proppy.app/propertyfiles/18/198451/28db2ddd-2f80-4c8b-8fdb-af66ed5773ec.jpg', 'https://cdn.proppy.app/propertyfiles/18/198451/77522453-311a-4179-b71d-090a271d549c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198451/1b838828-18df-47dd-8278-82a699e29fdf.jpg', 'https://cdn.proppy.app/propertyfiles/18/198451/ef36ed64-2605-43cc-aed3-fc6059871092.jpg', 'https://cdn.proppy.app/propertyfiles/18/198451/0ac125ad-2ac1-4934-b6ea-dca9660b203d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198451/28db2ddd-2f80-4c8b-8fdb-af66ed5773ec.jpg', 'https://cdn.proppy.app/propertyfiles/18/198451/77522453-311a-4179-b71d-090a271d549c.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24313,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198450/9915dd35-dbc6-484a-bde2-8d3fca01111d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198450/996c9529-b904-4149-8835-e49be3ba6552.jpg', 'https://cdn.proppy.app/propertyfiles/18/198450/693e2f4f-9956-4cfe-a19c-fa025dd8e869.jpg', 'https://cdn.proppy.app/propertyfiles/18/198450/3356d7b2-0dba-4d51-b82d-c12b95f026a7.jpg', 'https://cdn.proppy.app/propertyfiles/18/198450/fd0c184b-963e-4b54-8474-77c9fbe31e44.jpg', 'https://cdn.proppy.app/propertyfiles/18/198450/9915dd35-dbc6-484a-bde2-8d3fca01111d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198450/996c9529-b904-4149-8835-e49be3ba6552.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24314,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198449/6ea6fbd3-fee3-4775-a9a1-2eb3846674aa.jpg', 'https://cdn.proppy.app/propertyfiles/18/198449/255e8125-07c2-40de-8b66-0b218c42df1f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198449/dbd633a5-0143-4f34-9ab1-39b1416453fb.jpg', 'https://cdn.proppy.app/propertyfiles/18/198449/c8c9e327-9f4e-4c9c-9da6-8022078baf1e.jpg', 'https://cdn.proppy.app/propertyfiles/18/198449/f12aad2c-9b6a-4046-ad77-7214616b2e86.jpg', 'https://cdn.proppy.app/propertyfiles/18/198449/6ea6fbd3-fee3-4775-a9a1-2eb3846674aa.jpg', 'https://cdn.proppy.app/propertyfiles/18/198449/255e8125-07c2-40de-8b66-0b218c42df1f.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24315,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198448/fffc47bf-2cb4-4e96-9fac-2cfe89c5d70c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198448/26c19719-8c6b-42c3-92a7-b55a0ca4e7e2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198448/22df22ce-7538-4467-803f-356d756b0a54.jpg', 'https://cdn.proppy.app/propertyfiles/18/198448/bf0b72d5-9a7f-48b6-b1ea-7644f942266e.jpg', 'https://cdn.proppy.app/propertyfiles/18/198448/e87c1158-906f-4db9-8392-93ef82df936a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198448/fffc47bf-2cb4-4e96-9fac-2cfe89c5d70c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198448/26c19719-8c6b-42c3-92a7-b55a0ca4e7e2.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24316,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198447/76f085fc-9161-4744-a071-3d9747456d67.jpg', 'https://cdn.proppy.app/propertyfiles/18/198447/09313293-d5f9-41fc-a3d4-54ddf9472f42.jpg', 'https://cdn.proppy.app/propertyfiles/18/198447/5a885a87-b6e7-449b-bad2-65568fba0991.jpg', 'https://cdn.proppy.app/propertyfiles/18/198447/4ca1c4e3-d16d-4b97-8937-ef0744a55293.jpg', 'https://cdn.proppy.app/propertyfiles/18/198447/5e57d10f-ece5-4bcb-a464-d5265b475e31.jpg', 'https://cdn.proppy.app/propertyfiles/18/198447/76f085fc-9161-4744-a071-3d9747456d67.jpg', 'https://cdn.proppy.app/propertyfiles/18/198447/09313293-d5f9-41fc-a3d4-54ddf9472f42.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24317,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198446/5c424d99-f4c7-4ab9-9e34-f33c63ae8fbb.jpg', 'https://cdn.proppy.app/propertyfiles/18/198446/8d2221d4-8a64-4a16-8df0-5a3f4eb428d2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198446/1542b13a-0193-48f1-8721-a93bbe661a5f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198446/d5fb16bc-0abc-4246-9fb9-eb69ba7016ee.jpg', 'https://cdn.proppy.app/propertyfiles/18/198446/a209eb3c-4f73-433e-949e-136100dd4b2f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198446/5c424d99-f4c7-4ab9-9e34-f33c63ae8fbb.jpg', 'https://cdn.proppy.app/propertyfiles/18/198446/8d2221d4-8a64-4a16-8df0-5a3f4eb428d2.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24320,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198445/faa6396a-a9d0-458b-a0f8-7b1f09809db5.jpg', 'https://cdn.proppy.app/propertyfiles/18/198445/b273b8be-c7fe-42dc-b9a0-168db082b258.jpg', 'https://cdn.proppy.app/propertyfiles/18/198445/7e0d4be4-1370-4ed0-90dc-d3b4e6985a47.jpg', 'https://cdn.proppy.app/propertyfiles/18/198445/440f852f-8950-4d1d-abac-738138b33849.jpg', 'https://cdn.proppy.app/propertyfiles/18/198445/70e88594-ba81-431d-a692-4826e7a2c64a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198445/faa6396a-a9d0-458b-a0f8-7b1f09809db5.jpg', 'https://cdn.proppy.app/propertyfiles/18/198445/b273b8be-c7fe-42dc-b9a0-168db082b258.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24321,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198444/a406512a-292a-40d4-8a29-78fdeb5bf0ca.jpg', 'https://cdn.proppy.app/propertyfiles/18/198444/5e2c007c-86db-49b3-9d65-97c740e5ae64.jpg', 'https://cdn.proppy.app/propertyfiles/18/198444/eccbc29d-861c-441e-80c3-b6c043776d80.jpg', 'https://cdn.proppy.app/propertyfiles/18/198444/78718aca-17f0-4c87-a3a2-e76b9b6f8188.jpg', 'https://cdn.proppy.app/propertyfiles/18/198444/cd4fb8b5-7e92-4fbd-bc75-af41fd5fe39e.jpg', 'https://cdn.proppy.app/propertyfiles/18/198444/a406512a-292a-40d4-8a29-78fdeb5bf0ca.jpg', 'https://cdn.proppy.app/propertyfiles/18/198444/5e2c007c-86db-49b3-9d65-97c740e5ae64.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24322,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198443/1b59ac85-c5af-4515-b131-8f93bf2f78f0.jpg', 'https://cdn.proppy.app/propertyfiles/18/198443/48c93160-99fc-4601-8288-43a6c26069ff.jpg', 'https://cdn.proppy.app/propertyfiles/18/198443/7b7ded9a-0bfb-4aaf-be7b-04a4106e55ec.jpg', 'https://cdn.proppy.app/propertyfiles/18/198443/cbc9317b-0302-417e-877f-d511a9120912.jpg', 'https://cdn.proppy.app/propertyfiles/18/198443/10b43548-78bf-4f24-8588-68085004cb07.jpg', 'https://cdn.proppy.app/propertyfiles/18/198443/1b59ac85-c5af-4515-b131-8f93bf2f78f0.jpg', 'https://cdn.proppy.app/propertyfiles/18/198443/48c93160-99fc-4601-8288-43a6c26069ff.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24323,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198442/537b382a-0dbe-4dee-af47-77c9dbede7e5.jpg', 'https://cdn.proppy.app/propertyfiles/18/198442/8764c0c9-9aad-4ccf-9f64-52f1f9541e34.jpg', 'https://cdn.proppy.app/propertyfiles/18/198442/c429eedb-3cda-4af9-93c0-4dcc713be42d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198442/30c5b1ac-32ff-4e42-a68f-7abbf917314c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198442/814474d5-a655-4b95-b718-0daa7248e41f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198442/537b382a-0dbe-4dee-af47-77c9dbede7e5.jpg', 'https://cdn.proppy.app/propertyfiles/18/198442/8764c0c9-9aad-4ccf-9f64-52f1f9541e34.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24324,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198441/30a60b4b-8d39-4d3c-a632-244fa905e9a9.jpg', 'https://cdn.proppy.app/propertyfiles/18/198441/aa547a33-d7c5-4ba0-9f90-aa43ada6d806.jpg', 'https://cdn.proppy.app/propertyfiles/18/198441/44ba15b0-079f-4806-b833-b039943a87fd.jpg', 'https://cdn.proppy.app/propertyfiles/18/198441/248e37c6-fa7d-419c-8fae-13f57d60c970.jpg', 'https://cdn.proppy.app/propertyfiles/18/198441/d59021b9-07f6-4d5e-80ef-fa890fc6c609.jpg', 'https://cdn.proppy.app/propertyfiles/18/198441/30a60b4b-8d39-4d3c-a632-244fa905e9a9.jpg', 'https://cdn.proppy.app/propertyfiles/18/198441/aa547a33-d7c5-4ba0-9f90-aa43ada6d806.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24325,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198440/423261a1-ad21-40ff-b976-d459208957e2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198440/6bae6bcd-3f8d-4ad2-b278-d7fbec5de3af.jpg', 'https://cdn.proppy.app/propertyfiles/18/198440/b1e9ebb8-daec-4d79-b5ef-3294a031a202.jpg', 'https://cdn.proppy.app/propertyfiles/18/198440/ea723342-6e28-4093-8404-8ce38bf2124c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198440/fd249d70-4fac-44ea-8d9c-764f2450224d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198440/423261a1-ad21-40ff-b976-d459208957e2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198440/6bae6bcd-3f8d-4ad2-b278-d7fbec5de3af.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terreno urbano,24333,8000,,,Águeda,,urbano,200,0,"['https://cdn.proppy.app/propertyfiles/18/198433/4686833a-dea0-4de9-bba7-8c2f28fca61f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198433/8dc5ff4b-fd7c-40fb-b3be-bea65f444e84.jpg', 'https://cdn.proppy.app/propertyfiles/18/198433/8825f8c2-8274-42f1-8437-d6b177c8c240.jpg', 'https://cdn.proppy.app/propertyfiles/18/198433/7473461b-4232-4f87-a3e6-e97c77f07f64.jpg', 'https://cdn.proppy.app/propertyfiles/18/198433/351441e6-3488-4881-ba49-dbc3cbb56c64.jpg', 'https://cdn.proppy.app/propertyfiles/18/198433/4686833a-dea0-4de9-bba7-8c2f28fca61f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198433/8dc5ff4b-fd7c-40fb-b3be-bea65f444e84.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

